PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=320 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=331 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=258 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=88.2 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=94.1 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=315 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=287 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=332 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=310 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=287 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=317 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=263 ms
